"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
7,502451002E0	2,838750076E1	3,881250000E1	-4,668750000E1
7,522449245E0	2,825625038E1	3,870000076E1	-4,661250305E1
7,542455562E0	2,844375038E1	3,851250076E1	-4,638750076E1
7,562456253E0	2,874375153E1	3,821250153E1	-4,620000076E1
7,582452295E0	2,898750114E1	3,815625000E1	-4,650000000E1
7,602222501E0	2,904375076E1	3,815625000E1	-4,638750076E1
7,622277570E0	2,904375076E1	3,828750229E1	-4,601250076E1
7,642321125E0	2,928750038E1	3,840000153E1	-4,595625305E1
7,662365495E0	2,928750038E1	3,845625305E1	-4,571250153E1
7,682397440E0	2,928750038E1	3,845625305E1	-4,590000153E1
7,702417370E0	2,928750038E1	3,845625305E1	-4,595625305E1
7,722439609E0	2,915625191E1	3,870000076E1	-4,601250076E1
7,742451470E0	2,910000038E1	3,875625229E1	-4,595625305E1
7,762465795E0	2,915625191E1	3,888750076E1	-4,608750153E1
7,782236320E0	2,910000038E1	3,900000000E1	-4,620000076E1
7,802288192E0	2,904375076E1	3,930000305E1	-4,608750153E1
7,822340873E0	2,874375153E1	3,965625000E1	-4,625625229E1
7,842447757E0	2,868750191E1	4,001250076E1	-4,620000076E1
7,862191824E0	2,850000191E1	4,020000076E1	-4,601250076E1
7,882021553E0	2,855625153E1	4,020000076E1	-4,601250076E1
7,901892264E0	2,868750191E1	4,008750153E1	-4,595625305E1
7,922123458E0	2,855625153E1	3,990000153E1	-4,590000153E1
7,942038975E0	2,868750191E1	3,995625305E1	-4,601250076E1
7,961940928E0	2,880000114E1	3,978750229E1	-4,608750153E1
7,981928544E0	2,910000038E1	3,960000229E1	-4,590000153E1
8,001975921E0	2,910000038E1	3,948750305E1	-4,601250076E1
8,022083234E0	2,915625191E1	3,960000229E1	-4,638750076E1
8,042231105E0	2,904375076E1	3,960000229E1	-4,631250000E1
8,062338000E0	2,904375076E1	3,965625000E1	-4,631250000E1
8,082410830E0	2,915625191E1	3,995625305E1	-4,608750153E1
8,102465982E0	2,934375191E1	3,978750229E1	-4,571250153E1
