"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
6,627883385E0	-1,149500012E-1	3,991625011E-1	2,271499932E-1
6,648045611E0	-2,426874936E-1	2,319625020E-1	2,729375064E-1
6,668207687E0	-3,012624979E-1	3,299999982E-2	3,602499962E-1
6,688369848E0	-3,565374911E-1	-5,527500063E-2	3,995749950E-1
6,708532313E0	-3,715249896E-1	-3,299999982E-2	3,708375096E-1
6,728694247E0	-2,884750068E-1	1,086250022E-1	2,792625129E-1
6,748856693E0	-2,150499970E-1	2,586374879E-1	1,761374921E-1
6,769018828E0	-2,139499933E-1	2,714250088E-1	1,494625062E-1
6,789180978E0	-1,724250019E-1	6,916250288E-2	1,889249980E-1
6,809343117E0	-5,115000159E-2	-1,926375031E-1	2,527250051E-1
6,829505492E0	4,124999978E-3	-3,745499849E-1	2,228875011E-1
6,849667649E0	5,211250111E-2	-3,235374987E-1	1,260875016E-1
6,869829877E0	1,222374961E-1	-7,864999771E-2	3,451250121E-2
6,889992041E0	1,947000027E-1	1,479499936E-1	-5,169999972E-2
6,910154423E0	1,116499975E-1	1,948374957E-1	-1,101374999E-1
6,930316562E0	-1,214125007E-1	2,043250054E-1	-9,735000134E-2
6,950478805E0	-4,459125102E-1	2,532750070E-1	-2,296249941E-2
6,970640973E0	-7,397499681E-1	3,469125032E-1	7,493750006E-2
6,990803339E0	-9,631875157E-1	3,628624976E-1	1,292500049E-1
7,010965497E0	-1,079237461E0	1,479499936E-1	1,101374999E-1
7,031127654E0	-1,015300035E0	-8,717499673E-2	1,539999992E-2
7,051289815E0	-6,928625107E-1	-1,978625059E-1	-1,846625060E-1
7,071452041E0	-1,054624990E-1	-2,340250015E-1	-3,793624938E-1
7,091614431E0	3,319250047E-1	-2,840749919E-1	-5,400999784E-1
7,111776568E0	2,937000096E-1	-2,340250015E-1	-6,837875247E-1
7,131938815E0	7,424999960E-3	7,878749818E-2	-7,753624916E-1
7,152100983E0	2,138125002E-1	4,342249930E-1	-6,507874727E-1
7,172263443E0	7,140374780E-1	3,416875005E-1	-4,464625120E-1
7,192425515E0	7,192624807E-1	-2,766500115E-1	-2,612499893E-1
7,212587655E0	2,457125038E-1	-7,236624956E-1	-8,882500231E-2
7,232749893E0	-4,045250118E-1	-3,511750102E-1	-2,612499893E-2
7,252912060E0	-5,928999782E-1	7,512999773E-1	5,046249926E-2
7,273074448E0	-1,479499936E-1	1,225950003E0	3,005749881E-1
7,293236568E0	2,883374989E-1	5,385875106E-1	4,900499880E-1
7,313398825E0	2,000624985E-1	-5,777750015E-1	4,038375020E-1
7,333560979E0	8,401250094E-2	-9,864249825E-1	3,932499886E-1
7,353723357E0	1,159124970E-1	-7,342500091E-1	3,537875116E-1
7,373885504E0	2,436500043E-1	-8,621250093E-2	1,505624950E-1
7,394047646E0	4,203374982E-1	4,268000126E-1	-1,420374960E-1
7,414209891E0	3,691875041E-1	6,289250255E-1	-4,006749988E-1
7,434372036E0	6,063750014E-2	6,215000153E-1	-5,273125172E-1
7,454534433E0	-2,597374916E-1	5,257999897E-1	-4,603500068E-1
7,474696607E0	-5,565999746E-1	4,140124917E-1	-3,485625088E-1
7,494858867E0	-8,514000177E-1	3,724874854E-1	-2,857249975E-1
7,515021247E0	-1,045137525E0	3,607999980E-1	-2,272875011E-1
7,535183488E0	-9,099749923E-1	3,075875044E-1	-1,303499937E-1
7,555345548E0	-4,609000087E-1	1,128875017E-1	-1,218250021E-1
7,575507693E0	7,755000144E-2	-2,382874936E-1	-1,942874938E-1
