"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
5,941840833E0	-2,340000153E1	-7,912500381E0	-2,214375114E1
5,961573427E0	-2,340000153E1	-7,912500381E0	-2,238750076E1
5,981361047E0	-2,321250153E1	-7,800000191E0	-2,244375038E1
6,001210745E0	-2,315625000E1	-7,912500381E0	-2,250000000E1
6,021113013E0	-2,304375076E1	-7,912500381E0	-2,268750000E1
6,041102856E0	-2,304375076E1	-8,043750763E0	-2,268750000E1
6,061067635E0	-2,285625076E1	-7,800000191E0	-2,298750114E1
6,081026700E0	-2,291250038E1	-7,856250286E0	-2,310000038E1
6,101143602E0	-2,304375076E1	-7,612500191E0	-2,310000038E1
6,121306021E0	-2,291250038E1	-7,743750095E0	-2,291250038E1
6,141474010E0	-2,304375076E1	-7,612500191E0	-2,304375076E1
6,161597094E0	-2,285625076E1	-7,443750381E0	-2,328750038E1
6,181680490E0	-2,285625076E1	-7,443750381E0	-2,334375000E1
6,201742661E0	-2,274375153E1	-7,200000286E0	-2,358750153E1
6,221777769E0	-2,250000000E1	-7,256250381E0	-2,381250000E1
6,241802760E0	-2,201250076E1	-7,256250381E0	-2,411250114E1
6,261811283E0	-2,165625000E1	-7,143750191E0	-2,454375076E1
6,281804493E0	-2,130000114E1	-6,956250191E0	-2,501250076E1
6,301799633E0	-2,111250114E1	-7,012500286E0	-2,520000076E1
6,321788127E0	-2,051250076E1	-6,956250191E0	-2,544375038E1
6,341771468E0	-2,010000038E1	-6,900000095E0	-2,591250038E1
6,361763728E0	-2,010000038E1	-7,012500286E0	-2,610000038E1
6,381753110E0	-2,004375076E1	-7,012500286E0	-2,610000038E1
6,401739293E0	-2,004375076E1	-7,143750191E0	-2,628750038E1
6,421735765E0	-1,985625076E1	-7,256250381E0	-2,634375191E1
6,441730114E0	-1,980000114E1	-7,200000286E0	-2,658750153E1
6,461721239E0	-1,944375038E1	-7,143750191E0	-2,694375038E1
6,481724036E0	-1,950000000E1	-7,312500477E0	-2,711250114E1
6,501720099E0	-1,961250114E1	-7,200000286E0	-2,724375153E1
6,521725583E0	-1,961250114E1	-7,200000286E0	-2,741250038E1
6,541727555E0	-1,980000114E1	-7,312500477E0	-2,741250038E1
6,561723438E0	-1,974375153E1	-7,443750381E0	-2,724375153E1
6,581729196E0	-2,004375076E1	-7,556250095E0	-2,694375038E1
6,601727534E0	-2,040000153E1	-7,856250286E0	-2,670000076E1
6,621722463E0	-2,081250000E1	-8,156250000E0	-2,651250076E1
6,641491902E0	-2,111250114E1	-8,100000381E0	-2,628750038E1
6,661544955E0	-2,111250114E1	-8,343750000E0	-2,580000114E1
6,681588579E0	-2,100000000E1	-8,456250191E0	-2,544375038E1
6,701633778E0	-2,081250000E1	-8,400000572E0	-2,544375038E1
6,721665034E0	-2,124375153E1	-8,343750000E0	-2,568750191E1
6,741699201E0	-2,135625076E1	-8,343750000E0	-2,580000114E1
6,761718264E0	-2,124375153E1	-8,212500572E0	-2,591250038E1
6,781727367E0	-2,130000114E1	-8,100000381E0	-2,574375153E1
6,801739246E0	-2,135625076E1	-8,156250000E0	-2,561250114E1
6,821742862E0	-2,154375076E1	-8,343750000E0	-2,561250114E1
6,841739757E0	-2,154375076E1	-8,156250000E0	-2,568750191E1
6,861743748E0	-2,160000038E1	-8,100000381E0	-2,550000191E1
6,881741654E0	-2,105625153E1	-8,043750763E0	-2,538750076E1
6,901735824E0	-2,070000076E1	-8,043750763E0	-2,538750076E1
6,921737552E0	-2,051250076E1	-7,856250286E0	-2,544375038E1
6,941734447E0	-2,015625000E1	-8,043750763E0	-2,538750076E1
6,961727450E0	-1,980000114E1	-7,912500381E0	-2,561250114E1
6,981729960E0	-2,004375076E1	-7,856250286E0	-2,561250114E1
7,001725946E0	-2,010000038E1	-8,043750763E0	-2,544375038E1
7,021730089E0	-1,985625076E1	-8,343750000E0	-2,538750076E1
7,041730556E0	-2,004375076E1	-8,400000572E0	-2,501250076E1
7,061726333E0	-2,004375076E1	-8,400000572E0	-2,490000153E1
7,081731406E0	-2,010000038E1	-8,643750191E0	-2,460000038E1
7,101729616E0	-2,015625000E1	-8,643750191E0	-2,471250153E1
7,121723716E0	-2,015625000E1	-8,812500000E0	-2,460000038E1
7,141492654E0	-1,974375153E1	-8,943750381E0	-2,471250153E1
7,161590126E0	-1,950000000E1	-8,943750381E0	-2,484375191E1
7,181724296E0	-1,974375153E1	-8,812500000E0	-2,531250191E1
7,201502621E0	-1,980000114E1	-8,943750381E0	-2,561250114E1
7,221325831E0	-1,961250114E1	-8,812500000E0	-2,574375153E1
7,241191057E0	-1,931250000E1	-8,943750381E0	-2,591250038E1
7,261115220E0	-1,955625153E1	-9,000000000E0	-2,591250038E1
7,281120188E0	-1,980000114E1	-8,756250381E0	-2,591250038E1
7,301083973E0	-1,985625076E1	-8,756250381E0	-2,598750114E1
7,321129054E0	-2,015625000E1	-8,756250381E0	-2,574375153E1
7,341222439E0	-2,004375076E1	-8,700000763E0	-2,550000191E1
7,361363022E0	-2,015625000E1	-8,756250381E0	-2,550000191E1
7,381511335E0	-2,051250076E1	-9,000000000E0	-2,568750191E1
7,401617703E0	-2,075625038E1	-9,000000000E0	-2,568750191E1
7,421699768E0	-2,040000153E1	-9,000000000E0	-2,574375153E1
7,441750878E0	-2,015625000E1	-9,112500191E0	-2,598750114E1
7,461776697E0	-2,004375076E1	-9,056250572E0	-2,621250153E1
7,481796027E0	-1,974375153E1	-9,112500191E0	-2,628750038E1
7,501797490E0	-1,955625153E1	-9,243750572E0	-2,610000038E1
7,521801514E0	-1,944375038E1	-8,943750381E0	-2,610000038E1
7,541794393E0	-1,925625038E1	-8,943750381E0	-2,574375153E1
7,561780438E0	-1,925625038E1	-8,943750381E0	-2,598750114E1
7,581774060E0	-1,931250000E1	-8,756250381E0	-2,598750114E1
7,601762738E0	-1,950000000E1	-8,700000763E0	-2,580000114E1
7,621749707E0	-1,955625153E1	-8,812500000E0	-2,544375038E1
7,641744372E0	-1,961250114E1	-8,756250381E0	-2,538750076E1
7,661502417E0	-2,010000038E1	-8,643750191E0	-2,538750076E1
7,681547123E0	-2,004375076E1	-8,812500000E0	-2,531250191E1
7,701595541E0	-1,985625076E1	-8,700000763E0	-2,544375038E1
7,721634133E0	-1,991250038E1	-8,512500763E0	-2,531250191E1
7,741672140E0	-2,004375076E1	-8,400000572E0	-2,508750153E1
7,761696857E0	-2,004375076E1	-8,400000572E0	-2,484375191E1
7,781712676E0	-2,034375000E1	-8,212500572E0	-2,501250076E1
7,801728458E0	-2,040000153E1	-8,156250000E0	-2,501250076E1
7,821737034E0	-2,010000038E1	-8,400000572E0	-2,490000153E1
